variety,description,description_split
Abouriou,3,3
Agiorgitiko,63,63
Aglianico,359,359
Airen,3,3
Albana,23,23
Albariño,477,477
Albarossa,2,2
Aleatico,5,5
Alfrocheiro,16,16
Alicante,5,5
Alicante Bouschet,50,50
Aligoté,30,30
Alsace white blend,51,51
Altesse,8,8
Alvarelhão,2,2
Alvarinho,137,137
Alvarinho-Chardonnay,5,5
Ansonica,2,2
Antão Vaz,17,17
Apple,2,2
Aragonez,10,10
Aragonês,10,10
Argaman,3,3
Arinto,77,77
Arneis,86,86
Asprinio,3,3
Assyrtico,43,43
Assyrtiko,18,18
Austrian Red Blend,62,62
Austrian white blend,80,80
Auxerrois,27,27
Avesso,6,6
Azal,3,3
Babić,4,4
Bacchus,2,2
Baco Noir,16,16
Baga,29,29
Baga-Touriga Nacional,2,2
Barbera,721,721
Bastardo,2,2
Bical,13,13
Black Monukka,2,2
Black Muscat,11,11
Blanc du Bois,6,6
Blauer Portugieser,2,2
Blaufränkisch,232,232
Bobal,23,23
Bombino Bianco,2,2
Bonarda,105,105
Bordeaux-style Red Blend,6915,6915
Bordeaux-style White Blend,1066,1066
Bovale,4,4
Boğazkere,4,4
Brachetto,15,15
Braucol,5,5
Bual,7,7
Cabernet,11,11
Cabernet Blend,80,80
Cabernet Franc,1353,1353
Cabernet Franc-Cabernet Sauvignon,16,16
Cabernet Franc-Carmenère,2,2
Cabernet Franc-Lemberger,2,2
Cabernet Franc-Malbec,4,4
Cabernet Franc-Merlot,20,20
Cabernet Merlot,21,21
Cabernet Moravia,2,2
Cabernet Pfeffer,2,2
Cabernet Sauvignon,9472,9472
Cabernet Sauvignon Grenache,2,2
Cabernet Sauvignon-Cabernet Franc,21,21
Cabernet Sauvignon-Carmenère,43,43
Cabernet Sauvignon-Malbec,18,18
Cabernet Sauvignon-Merlot,117,117
Cabernet Sauvignon-Merlot-Shiraz,3,3
Cabernet Sauvignon-Sangiovese,8,8
Cabernet Sauvignon-Shiraz,27,27
Cabernet Sauvignon-Syrah,102,102
Cabernet Sauvignon-Tempranillo,15,15
Cabernet-Shiraz,2,2
Cabernet-Syrah,13,13
Canaiolo,3,3
Cannonau,31,31
Carignan,77,77
Carignan-Grenache,9,9
Carignan-Syrah,3,3
Carignane,30,30
Carignano,15,15
Carineña,5,5
Cariñena-Garnacha,2,2
Carmenère,575,575
Carmenère-Cabernet Sauvignon,8,8
Carmenère-Syrah,7,7
Carricante,37,37
Casavecchia,5,5
Castelão,34,34
Catarratto,29,29
Cayuga,2,2
Cerceal,3,3
Cesanese,2,2
Cesanese d'Affile,8,8
